Date,Price,Open,High,Low,Vol.,Change %
1/2/2024,27450,"28,100.00","28,150.00","27,450.00",22.19M,-1.79%
1/3/2024,27800,"27,400.00","27,800.00","27,400.00",18.58M,1.28%
1/4/2024,27750,"27,800.00","28,100.00","27,700.00",38.54M,-0.18%
1/5/2024,27800,"27,750.00","27,900.00","27,550.00",17.33M,0.18%
1/8/2024,27850,"27,950.00","28,250.00","27,850.00",31.24M,0.18%
1/9/2024,27700,"27,900.00","27,950.00","27,500.00",28.62M,-0.54%
1/10/2024,27350,"27,700.00","27,750.00","27,250.00",32.64M,-1.26%
1/11/2024,27500,"27,450.00","27,650.00","27,400.00",15.26M,0.55%
1/12/2024,27150,"27,350.00","27,450.00","27,050.00",28.63M,-1.27%
1/15/2024,27100,"27,200.00","27,450.00","27,100.00",12.50M,-0.18%
1/16/2024,27800,"27,100.00","27,800.00","27,050.00",19.77M,2.58%
1/17/2024,27650,"27,850.00","27,950.00","27,650.00",23.41M,-0.54%
1/18/2024,27650,"27,700.00","27,850.00","27,600.00",12.64M,0.00%
1/19/2024,27800,"27,750.00","27,900.00","27,600.00",14.86M,0.54%
1/22/2024,28300,"28,000.00","28,650.00","27,850.00",66.07M,1.80%
1/23/2024,28350,"28,450.00","28,500.00","28,250.00",21.68M,0.18%
1/24/2024,28250,"28,300.00","28,500.00","28,250.00",16.14M,-0.35%
1/25/2024,28250,"28,250.00","28,400.00","28,000.00",15.23M,0.00%
1/26/2024,28350,"28,400.00","28,500.00","28,250.00",14.37M,0.35%
1/29/2024,28000,"28,350.00","28,400.00","28,000.00",21.58M,-1.23%
1/30/2024,28000,"28,000.00","28,100.00","27,850.00",17.53M,0.00%
1/31/2024,27750,"27,950.00","28,100.00","27,750.00",24.46M,-0.89%
2/1/2024,27850,"27,750.00","28,100.00","27,700.00",10.64M,0.36%
2/2/2024,27900,"27,700.00","28,100.00","27,700.00",14.16M,0.18%
2/5/2024,28000,"27,900.00","28,300.00","27,900.00",16.23M,0.36%
2/6/2024,28050,"28,150.00","28,250.00","28,000.00",14.66M,0.18%
2/7/2024,28150,"28,050.00","28,300.00","28,050.00",13.81M,0.36%
2/15/2024,28700,"28,300.00","28,900.00","28,250.00",36.99M,1.95%
2/16/2024,28600,"28,750.00","28,800.00","28,600.00",16.72M,-0.35%
2/19/2024,29200,"28,650.00","29,400.00","28,450.00",42.28M,2.10%
2/20/2024,29200,"29,200.00","29,350.00","29,050.00",21.39M,0.00%
2/21/2024,28800,"29,100.00","29,150.00","28,700.00",31.58M,-1.37%
2/22/2024,28550,"28,700.00","28,800.00","28,550.00",22.41M,-0.87%
2/23/2024,28500,"28,550.00","28,850.00","28,400.00",27.30M,-0.18%
2/26/2024,28800,"28,400.00","28,800.00","28,300.00",19.22M,1.05%
2/27/2024,30350,"28,900.00","30,450.00","28,800.00",86.84M,5.38%
2/28/2024,30600,"30,400.00","30,950.00","30,150.00",35.20M,0.82%
2/29/2024,31000,"30,750.00","31,150.00","30,500.00",33.58M,1.31%
3/1/2024,30850,"31,200.00","31,200.00","30,650.00",26.96M,-0.48%
3/4/2024,30800,"31,000.00","31,400.00","30,700.00",28.58M,-0.16%
3/5/2024,31150,"30,800.00","31,300.00","30,700.00",29.92M,1.14%
3/6/2024,30600,"31,100.00","31,150.00","30,550.00",20.86M,-1.77%
3/7/2024,31000,"30,700.00","31,350.00","30,600.00",32.26M,1.31%
3/8/2024,30300,"31,000.00","31,050.00","30,250.00",47.32M,-2.26%
3/11/2024,29900,"30,300.00","30,600.00","29,800.00",30.42M,-1.32%
3/12/2024,30200,"29,850.00","30,400.00","29,800.00",30.14M,1.00%
3/13/2024,30800,"30,200.00","30,850.00","30,100.00",29.37M,1.99%
3/14/2024,30350,"30,900.00","30,900.00","30,250.00",30.77M,-1.46%
3/15/2024,30100,"30,350.00","30,700.00","30,000.00",35.82M,-0.82%
