Date,Price,Open,High,Low,Vol.,Change %
1/3/2023,49400,"48,000","49,400","47,000",1.62M,2.92%
1/4/2023,49000,"49,900","49,900","49,000",1.18M,-0.81%
1/5/2023,49700,"49,000","50,000","49,000",1.95M,1.43%
1/6/2023,49900,"49,750","50,300","49,500",1.17M,0.40%
1/9/2023,50200,"50,200","50,500","49,700",1.20M,0.60%
1/10/2023,49750,"50,100","50,400","49,750",894.10K,-0.90%
1/11/2023,50800,"50,300","50,900","49,800",1.19M,2.11%
1/12/2023,51500,"51,100","51,700","51,000",1.24M,1.38%
1/13/2023,52000,"51,700","52,000","51,100",1.05M,0.97%
1/16/2023,51300,"52,000","52,300","51,300",1.12M,-1.35%
1/17/2023,52000,"51,300","52,000","49,550",1.45M,1.36%
1/18/2023,52500,"52,000","52,900","50,900",1.26M,0.96%
1/19/2023,52200,"52,400","53,400","51,500",2.24M,-0.57%
1/27/2023,53300,"52,400","53,900","51,900",1.28M,2.11%
1/30/2023,51500,"53,300","53,500","51,500",1.35M,-3.38%
1/31/2023,50900,"51,500","51,800","50,400",1.31M,-1.17%
2/1/2023,48000,"50,700","50,900","48,000",3.65M,-5.70%
2/2/2023,47900,"48,500","49,200","47,700",2.16M,-0.21%
2/3/2023,48100,"48,000","48,500","47,500",1.25M,0.42%
2/6/2023,47950,"47,900","48,000","47,100",1.69M,-0.31%
2/7/2023,46800,"48,000","48,000","46,050",2.54M,-2.40%
2/8/2023,46600,"46,700","46,700","44,450",4.74M,-0.43%
2/9/2023,45300,"45,650","46,700","45,300",3.12M,-2.79%
2/10/2023,45400,"45,000","45,750","45,000",1.60M,0.22%
2/13/2023,44400,"44,800","45,000","43,400",2.47M,-2.20%
2/14/2023,42750,"44,000","44,200","42,200",3.88M,-3.72%
2/15/2023,42500,"42,700","42,700","41,600",4.29M,-0.58%
2/16/2023,42500,"42,750","42,750","42,000",2.37M,0.00%
2/17/2023,43300,"42,700","43,600","42,500",2.06M,1.88%
2/20/2023,45200,"43,500","46,300","43,400",4.18M,4.39%
2/21/2023,45200,"45,500","46,150","45,100",1.57M,0.00%
2/22/2023,42600,"44,600","44,800","42,600",3.71M,-5.75%
2/23/2023,42000,"42,600","42,850","40,600",4.59M,-1.41%
2/24/2023,41000,"41,700","42,000","40,900",3.01M,-2.38%
2/27/2023,40900,"40,000","40,900","39,400",5.33M,-0.24%
2/28/2023,41500,"41,000","41,950","40,400",1.63M,1.47%
3/1/2023,41200,"41,050","41,300","39,800",3.33M,-0.72%
3/2/2023,41100,"41,000","41,500","40,450",1.95M,-0.24%
3/3/2023,40950,"41,000","41,200","40,550",1.39M,-0.36%
3/6/2023,42100,"41,750","43,200","41,500",3.00M,2.81%
3/7/2023,42300,"42,700","43,000","42,100",1.67M,0.48%
3/8/2023,42350,"41,300","42,350","41,300",1.95M,0.12%
3/9/2023,42400,"42,350","43,000","42,250",1.78M,0.12%
3/10/2023,42850,"42,400","43,000","42,000",2.54M,1.06%
3/13/2023,44750,"42,800","44,800","42,750",3.23M,4.43%
3/14/2023,44750,"44,200","45,350","44,100",2.84M,0.00%
3/15/2023,46000,"45,250","46,600","44,950",2.07M,2.79%
3/16/2023,44500,"45,800","45,800","44,250",2.04M,-3.26%
3/17/2023,43350,"44,600","45,200","43,350",4.94M,-2.58%
3/20/2023,42550,"44,100","44,100","42,550",2.17M,-1.85%
3/21/2023,45400,"43,000","45,500","43,000",2.54M,6.70%
3/22/2023,47650,"45,600","48,000","45,600",4.39M,4.96%
3/23/2023,48000,"47,400","48,000","46,850",2.27M,0.73%
3/24/2023,49000,"48,000","49,850","48,000",2.61M,2.08%
3/27/2023,48400,"49,000","49,500","48,400",1.87M,-1.22%
3/28/2023,48000,"48,450","49,500","47,000",2.55M,-0.83%
3/29/2023,48000,"48,050","48,050","47,100",1.25M,0.00%
3/30/2023,49550,"48,800","49,950","48,100",1.68M,3.23%
3/31/2023,51500,"49,600","51,500","49,600",2.72M,3.94%
4/3/2023,52600,"52,200","53,700","52,000",2.84M,2.14%
4/4/2023,51000,"53,000","53,000","51,000",1.52M,-3.04%
4/5/2023,52200,"51,000","52,300","50,600",2.19M,2.35%
4/6/2023,51200,"52,000","52,200","51,200",1.03M,-1.92%
4/7/2023,50700,"51,200","51,500","50,300",779.80K,-0.98%
4/10/2023,49800,"51,400","51,500","49,800",1.33M,-1.78%
4/11/2023,51500,"49,300","51,700","49,300",2.08M,3.41%
4/12/2023,51600,"51,900","52,100","51,000",2.03M,0.19%
4/13/2023,50500,"51,600","51,700","50,300",1.34M,-2.13%
4/14/2023,50000,"50,700","51,500","49,700",1.32M,-0.99%
4/17/2023,50300,"50,100","50,900","50,000",1.03M,0.60%
4/18/2023,50800,"50,900","51,300","50,500",1.76M,0.99%
4/19/2023,50400,"50,800","51,200","50,000",973.10K,-0.79%
4/20/2023,50700,"50,500","50,700","49,850",483.60K,0.60%
4/21/2023,50300,"50,500","50,700","49,900",734.70K,-0.79%
4/24/2023,50500,"50,800","52,000","50,200",1.34M,0.40%
4/25/2023,50200,"51,200","51,200","49,850",2.14M,-0.59%
4/26/2023,48000,"49,900","49,900","48,000",2.28M,-4.38%
4/27/2023,47500,"48,000","48,700","46,850",2.65M,-1.04%
4/28/2023,49500,"47,700","49,500","47,400",1.14M,4.21%
5/4/2023,49500,"49,500","49,500","48,200",1.31M,0.00%
5/5/2023,49000,"49,150","49,500","48,600",793.20K,-1.01%
5/8/2023,49400,"48,850","49,550","48,600",1.06M,0.82%
5/9/2023,49300,"49,050","49,500","48,750",1.27M,-0.20%
5/10/2023,49350,"49,300","49,400","48,900",518.80K,0.10%
5/11/2023,49150,"49,500","49,500","48,950",523.90K,-0.41%
5/12/2023,51200,"49,100","51,200","48,900",1.44M,4.17%
5/15/2023,51700,"52,000","52,500","51,500",1.70M,0.98%
5/16/2023,52200,"51,700","52,200","51,500",1.50M,0.97%
5/17/2023,53400,"52,200","53,900","52,200",3.11M,2.30%
5/18/2023,55000,"53,900","55,800","53,500",3.53M,3.00%
5/19/2023,54100,"55,500","55,500","53,500",1.84M,-1.64%
5/22/2023,54100,"55,000","55,000","53,500",1.65M,0.00%
5/23/2023,53700,"54,500","54,500","53,000",1.16M,-0.74%
5/24/2023,54500,"53,700","54,500","53,300",848.90K,1.49%
5/25/2023,55000,"54,700","55,600","54,000",1.61M,0.92%
5/26/2023,55000,"55,000","56,400","54,600",1.79M,0.00%
5/29/2023,55500,"55,000","56,300","55,000",1.61M,0.91%
5/30/2023,54900,"56,000","56,000","54,600",1.39M,-1.08%
5/31/2023,53500,"55,000","55,000","53,500",1.54M,-2.55%
6/1/2023,53000,"53,500","54,000","53,000",913.70K,-0.93%
6/2/2023,53400,"53,500","53,900","53,000",1.36M,0.75%
6/5/2023,53700,"54,000","55,100","53,300",1.43M,0.56%
6/6/2023,55000,"54,400","55,000","53,900",1.36M,2.42%
6/7/2023,55300,"55,300","55,700","54,500",1.86M,0.55%
6/8/2023,55400,"55,300","56,000","55,100",2.33M,0.18%
6/9/2023,55500,"55,000","55,800","54,800",1.05M,0.18%
6/12/2023,55400,"55,500","55,500","54,400",1.15M,-0.18%
6/13/2023,56700,"55,200","56,700","55,100",2.37M,2.35%
6/14/2023,57000,"56,800","58,200","56,700",2.46M,0.53%
6/15/2023,56500,"57,000","57,900","55,800",2.45M,-0.88%
6/16/2023,56000,"56,400","56,900","55,000",2.45M,-0.88%
6/19/2023,55000,"56,100","56,100","54,800",1.53M,-1.79%
6/20/2023,55100,"55,000","55,700","54,500",984.30K,0.18%
6/21/2023,54600,"55,000","55,300","54,300",2.37M,-0.91%
6/22/2023,55700,"55,000","55,700","54,700",1.91M,2.01%
6/23/2023,56000,"55,200","56,000","55,100",2.16M,0.54%
6/26/2023,55500,"55,600","55,800","54,800",1.42M,-0.89%
6/27/2023,55900,"55,500","55,900","55,400",991.90K,0.72%
6/28/2023,55400,"56,100","56,200","55,000",1.39M,-0.89%
6/29/2023,55000,"55,400","55,400","54,900",1.25M,-0.72%
6/30/2023,55000,"54,800","55,500","54,300",1.46M,0.00%
7/3/2023,55900,"55,000","55,900","55,000",1.04M,1.64%
7/4/2023,56500,"55,900","56,800","55,500",1.45M,1.07%
7/5/2023,56100,"56,500","56,500","55,300",1.62M,-0.71%
7/6/2023,54500,"55,300","55,900","54,500",1.41M,-2.85%
7/7/2023,54000,"54,500","54,900","54,000",1.22M,-0.92%
7/10/2023,53800,"54,100","54,400","53,600",2.15M,-0.37%
7/11/2023,53900,"53,600","53,900","53,600",2.62M,0.19%
7/12/2023,55100,"53,900","55,300","53,900",2.19M,2.23%
7/13/2023,56300,"55,400","56,300","55,300",3.01M,2.18%
7/14/2023,56400,"56,500","56,600","55,800",2.05M,0.18%
7/17/2023,59000,"56,700","59,000","56,500",4.27M,4.61%
7/18/2023,58800,"58,500","59,400","58,000",2.91M,-0.34%
7/19/2023,58500,"58,800","59,000","58,200",2.22M,-0.51%
7/20/2023,57700,"58,500","58,500","57,300",3.59M,-1.37%
7/21/2023,59000,"57,500","59,000","57,300",3.60M,2.25%
7/24/2023,59100,"59,500","59,500","58,100",2.05M,0.17%
7/25/2023,58600,"58,800","59,200","58,200",3.62M,-0.85%
7/26/2023,59000,"58,300","59,000","58,300",3.08M,0.68%
7/27/2023,57500,"59,000","59,100","57,500",2.72M,-2.54%
7/28/2023,58900,"57,700","58,900","57,400",2.87M,2.43%
7/31/2023,63000,"62,200","63,000","61,000",5.51M,6.96%
8/1/2023,62800,"63,900","66,200","62,800",6.55M,-0.32%
8/2/2023,61900,"62,600","62,900","61,900",3.44M,-1.43%
8/3/2023,60100,"62,000","62,200","60,100",2.94M,-2.91%
8/4/2023,63000,"60,900","63,800","60,600",4.72M,4.83%
8/7/2023,62900,"63,700","63,700","61,600",3.40M,-0.16%
8/8/2023,62800,"62,900","63,800","62,500",5.30M,-0.16%
