Date,Price,Open,High,Low,Vol.,Change %
1/3/2023,84500,"84,400","84,500","83,600",34.50K,-0.12%
1/4/2023,84200,"85,000","85,000","83,600",19.19K,-0.36%
1/5/2023,84400,"83,800","84,400","83,600",25.12K,0.24%
1/6/2023,84900,"84,300","85,000","84,000",76.30K,0.59%
1/9/2023,85000,"84,700","85,000","84,600",17.84K,0.12%
1/10/2023,84600,"84,900","84,900","84,200",19.56K,-0.47%
1/11/2023,84600,"84,600","84,900","84,400",15.05K,0.00%
1/12/2023,84600,"84,600","84,600","84,000",9.16K,0.00%
1/13/2023,84500,"84,800","84,900","84,100",14.01K,-0.12%
1/16/2023,84700,"84,100","84,800","84,100",15.87K,0.24%
1/17/2023,84900,"84,000","85,100","84,000",86.10K,0.24%
1/18/2023,85000,"85,000","85,000","84,500",83.41K,0.12%
1/19/2023,85000,"85,800","85,900","84,900",88.56K,0.00%
1/27/2023,86000,"85,000","86,100","85,000",80.22K,1.18%
1/30/2023,85500,"86,000","86,500","85,300",117.70K,-0.58%
1/31/2023,85000,"87,000","87,000","84,900",35.12K,-0.58%
2/1/2023,85000,"85,500","85,500","84,900",99.87K,0.00%
2/2/2023,84900,"85,100","85,100","84,500",14.16K,-0.12%
2/3/2023,84500,"84,600","84,700","84,500",21.32K,-0.47%
2/6/2023,84500,"84,500","84,900","84,500",7.60K,0.00%
2/7/2023,84800,"84,500","84,800","84,200",18.17K,0.36%
2/8/2023,84500,"84,500","85,100","84,000",92.30K,-0.35%
2/9/2023,84500,"84,500","84,600","84,300",7.90K,0.00%
2/10/2023,84600,"84,500","84,600","84,000",9.42K,0.12%
2/13/2023,84500,"84,500","84,500","84,300",57.92K,-0.12%
2/14/2023,84400,"84,600","84,600","84,100",30.11K,-0.12%
2/15/2023,84500,"84,000","84,600","84,000",11.82K,0.12%
2/16/2023,85000,"84,400","86,100","84,400",70.13K,0.59%
2/17/2023,85000,"85,100","85,100","84,600",61.52K,0.00%
2/20/2023,85000,"85,000","85,000","84,100",58.87K,0.00%
2/21/2023,84500,"85,000","85,000","84,500",13.91K,-0.59%
2/22/2023,84600,"84,500","84,600","84,500",3.17K,0.12%
2/23/2023,84600,"84,200","84,600","84,200",40.81K,0.00%
2/24/2023,84500,"84,400","84,900","84,000",6.04K,-0.12%
2/27/2023,84000,"84,000","84,100","83,500",54.00K,-0.59%
2/28/2023,84200,"80,000","85,500","80,000",54.30K,0.24%
3/1/2023,84000,"83,300","84,200","83,200",1.50K,-0.24%
3/2/2023,83800,"83,400","84,600","83,400",10.92K,-0.24%
3/3/2023,83900,"83,500","84,600","83,000",24.10K,0.12%
3/6/2023,84900,"83,400","85,000","83,400",37.92K,1.19%
3/7/2023,84000,"84,800","84,800","83,800",1.60K,-1.06%
3/8/2023,84000,"84,000","84,100","83,500",36.41K,0.00%
3/9/2023,85000,"84,500","85,000","84,500",19.80K,1.19%
3/10/2023,84700,"83,800","86,000","83,800",32.55K,-0.35%
3/13/2023,83400,"84,100","84,100","83,000",28.30K,-1.53%
3/14/2023,84000,"84,100","84,100","83,100",12.19K,0.72%
3/15/2023,85000,"84,000","85,000","84,000",213.00K,1.19%
3/16/2023,84000,"84,600","84,600","84,000",10.62K,-1.18%
3/17/2023,84100,"83,500","84,700","82,000",16.31K,0.12%
3/20/2023,84000,"82,800","84,500","82,800",2.30K,-0.12%
3/21/2023,84500,"84,000","84,900","84,000",15.51K,0.60%
3/22/2023,84900,"84,800","84,900","84,700",1.02K,0.47%
3/23/2023,84100,"84,700","85,000","84,100",0.95K,-0.94%
3/24/2023,83200,"84,000","84,000","83,000",5.44K,-1.07%
3/27/2023,83000,"83,300","83,400","83,000",10.55K,-0.24%
3/28/2023,83000,"83,500","83,500","82,900",34.64K,0.00%
3/29/2023,81600,"83,300","83,500","81,500",110.72K,-1.69%
3/30/2023,82100,"82,400","82,800","82,100",3.30K,0.61%
3/31/2023,82000,"82,000","82,100","81,600",10.86K,-0.12%
4/3/2023,81300,"70,000","82,100","70,000",13.92K,-0.85%
4/4/2023,81100,"81,500","81,900","80,900",18.44K,-0.25%
4/5/2023,80500,"81,100","81,100","80,300",23.43K,-0.74%
4/6/2023,80500,"80,500","80,600","80,300",9.90K,0.00%
4/7/2023,80000,"80,500","80,500","79,800",22.12K,-0.62%
4/10/2023,77500,"80,100","80,100","77,500",35.91K,-3.13%
4/11/2023,77800,"77,500","78,000","77,500",31.30K,0.39%
4/12/2023,78400,"77,800","80,100","77,800",45.81K,0.77%
4/13/2023,78100,"78,900","78,900","78,100",27.40K,-0.38%
4/14/2023,78000,"78,900","78,900","77,500",8.90K,-0.13%
4/17/2023,78000,"78,300","78,300","77,900",5.90K,0.00%
4/18/2023,77000,"78,100","78,100","76,900",23.58K,-1.28%
4/19/2023,77100,"77,100","78,300","77,000",41.34K,0.13%
4/20/2023,78800,"77,100","79,000","77,100",22.89K,2.20%
4/21/2023,77500,"78,600","78,600","77,500",1.71K,-1.65%
4/24/2023,78000,"77,500","78,000","77,300",12.44K,0.65%
4/25/2023,76200,"78,000","78,000","76,200",53.90K,-2.31%
4/26/2023,77000,"77,700","77,700","76,300",0.87K,1.05%
4/27/2023,77000,"77,000","77,000","76,300",5.87K,0.00%
4/28/2023,78000,"78,000","78,500","77,300",24.11K,1.30%
5/4/2023,76400,"78,000","78,000","76,400",20.57K,-2.05%
5/5/2023,77000,"76,000","77,100","76,000",35.95K,0.79%
5/8/2023,76900,"76,300","77,900","76,300",11.57K,-0.13%
5/9/2023,77300,"77,500","77,900","77,100",19.50K,0.52%
5/10/2023,81800,"77,500","81,800","77,300",58.92K,5.82%
5/11/2023,80700,"80,800","81,000","79,800",32.34K,-1.34%
5/12/2023,80700,"80,600","80,900","79,100",15.53K,0.00%
5/15/2023,79300,"80,000","80,000","79,300",4.35K,-1.73%
5/16/2023,78700,"79,500","79,500","78,700",3.02K,-0.76%
5/17/2023,79000,"78,600","79,000","78,500",18.07K,0.38%
5/18/2023,78800,"78,900","79,000","78,700",1.70K,-0.25%
5/19/2023,78800,"78,800","79,000","78,800",2.02K,0.00%
5/22/2023,78900,"78,900","79,000","78,800",2.37K,0.13%
5/23/2023,78100,"78,100","78,900","78,000",6.11K,-1.01%
5/24/2023,78000,"78,300","78,300","77,800",13.20K,-0.13%
5/25/2023,77700,"77,800","78,000","77,500",11.24K,-0.38%
5/26/2023,77600,"77,600","77,700","77,600",5.30K,-0.13%
5/29/2023,77800,"78,300","78,400","77,500",7.35K,0.26%
5/30/2023,77500,"77,600","77,700","77,500",16.35K,-0.39%
5/31/2023,77900,"78,000","78,000","77,600",6.53K,0.52%
6/1/2023,77500,"77,700","77,700","77,500",6.59K,-0.51%
6/2/2023,77600,"77,600","78,000","77,600",7.40K,0.13%
6/5/2023,79400,"78,000","79,800","77,700",14.30K,2.32%
6/6/2023,77500,"80,000","80,000","77,500",19.09K,-2.39%
6/7/2023,78000,"77,500","78,000","77,500",18.52K,0.65%
6/8/2023,77600,"77,600","77,900","77,500",14.35K,-0.51%
6/9/2023,79000,"77,600","79,000","77,600",17.77K,1.80%
6/12/2023,77900,"77,900","78,000","77,500",5.64K,-1.39%
6/13/2023,78000,"77,800","78,300","77,700",29.10K,0.13%
6/14/2023,78000,"78,100","78,200","78,000",4.73K,0.00%
6/15/2023,76000,"78,000","78,000","76,000",12.31K,-2.56%
6/16/2023,78000,"77,600","78,000","77,500",11.00K,2.63%
6/19/2023,77500,"78,000","78,000","77,500",6.91K,-0.64%
6/20/2023,77600,"77,600","77,600","77,200",15.70K,0.13%
6/21/2023,77900,"77,600","78,000","76,800",9.00K,0.39%
6/22/2023,77800,"77,100","77,900","77,100",3.22K,-0.13%
6/23/2023,77600,"77,600","77,700","77,600",5.41K,-0.26%
6/26/2023,77700,"77,700","77,700","77,000",2.71K,0.13%
6/27/2023,77500,"77,300","77,700","77,300",5.44K,-0.26%
6/28/2023,75100,"77,500","77,700","75,100",84.10K,-3.10%
6/29/2023,77000,"76,200","77,500","75,000",93.71K,2.53%
6/30/2023,73500,"77,000","77,000","73,100",246.56K,-4.55%
7/3/2023,75500,"74,000","76,000","74,000",118.07K,2.72%
7/4/2023,76200,"76,000","76,200","75,000",111.40K,0.93%
7/5/2023,76000,"75,600","76,100","75,400",67.25K,-0.26%
7/6/2023,76400,"76,500","76,500","76,000",48.05K,0.53%
7/7/2023,76400,"76,900","77,600","76,000",39.70K,0.00%
7/10/2023,77700,"77,200","77,900","77,200",97.29K,1.70%
7/11/2023,79000,"77,800","79,100","77,800",56.14K,1.67%
7/12/2023,82500,"79,400","82,500","78,900",104.95K,4.43%
7/13/2023,82900,"82,000","83,000","81,000",66.65K,0.48%
7/14/2023,82600,"82,200","83,500","82,200",79.65K,-0.36%
7/17/2023,78500,"82,600","83,500","78,500",90.61K,-4.96%
7/18/2023,79000,"79,000","82,000","78,500",46.72K,0.64%
7/19/2023,79400,"80,800","80,800","79,300",40.90K,0.51%
7/20/2023,79700,"79,500","79,900","79,400",61.40K,0.38%
7/21/2023,80800,"79,700","80,800","79,700",48.24K,1.38%
7/24/2023,80300,"81,100","81,100","80,200",27.42K,-0.62%
7/25/2023,79500,"80,000","80,500","79,500",43.61K,-1.00%
7/26/2023,80000,"80,100","80,200","79,700",23.60K,0.63%
7/27/2023,80000,"80,100","80,200","79,600",26.52K,0.00%
7/28/2023,79600,"79,900","80,000","79,500",15.22K,-0.50%
7/31/2023,80400,"79,600","80,400","79,600",55.58K,1.01%
8/1/2023,80500,"80,500","82,000","80,500",26.72K,0.12%
8/2/2023,81700,"81,000","81,800","81,000",82.70K,1.49%
8/3/2023,82000,"81,600","82,000","80,100",41.57K,0.37%
8/4/2023,81200,"81,100","81,800","81,100",1.20K,-0.98%
8/7/2023,81700,"81,700","81,900","81,400",17.87K,0.62%
8/8/2023,81100,"82,000","82,000","81,000",17.49K,-0.73%
8/9/2023,81100,"81,800","82,000","81,000",6.67K,0.00%
8/10/2023,80600,"81,500","81,800","80,600",17.32K,-0.62%
8/11/2023,79900,"80,700","80,700","79,000",48.47K,-0.87%
8/14/2023,78500,"79,900","79,900","78,100",41.15K,-1.75%
8/15/2023,77700,"79,800","79,800","77,300",80.97K,-1.02%
8/16/2023,79200,"78,500","79,400","78,500",17.29K,1.93%
8/17/2023,79300,"79,300","79,500","79,100",16.22K,0.13%
8/18/2023,77800,"79,100","79,100","77,600",50.12K,-1.89%
8/21/2023,78200,"77,800","78,400","77,700",13.36K,0.51%
8/22/2023,78000,"77,700","78,500","77,700",11.80K,-0.26%
8/23/2023,78300,"78,000","78,500","77,800",84.62K,0.38%
8/24/2023,76500,"78,200","78,200","75,500",160.55K,-2.30%
8/25/2023,77500,"76,200","77,600","76,200",16.87K,1.31%
8/28/2023,75500,"77,100","77,100","74,900",114.45K,-2.58%
8/29/2023,75300,"75,600","76,000","75,000",74.23K,-0.26%
8/30/2023,75800,"75,500","76,000","73,900",252.55K,0.66%
8/31/2023,75000,"75,800","76,300","74,000",156.12K,-1.06%
9/5/2023,75000,"76,100","76,100","75,000",51.00K,0.00%
9/6/2023,76000,"75,700","76,100","75,100",172.61K,1.33%
9/7/2023,75600,"76,300","76,300","75,400",109.93K,-0.53%
9/8/2023,75100,"75,600","75,600","74,600",129.88K,-0.66%
9/11/2023,74800,"75,500","76,000","74,600",127.84K,-0.40%
9/12/2023,75800,"75,000","75,800","74,800",47.22K,1.34%
9/13/2023,75100,"75,500","75,800","75,100",64.45K,-0.92%
9/14/2023,75100,"75,500","75,700","74,900",88.85K,0.00%
9/15/2023,75300,"75,300","75,400","75,000",66.71K,0.27%
9/18/2023,76000,"75,200","76,100","75,100",87.89K,0.93%
9/19/2023,76700,"76,000","76,700","76,000",88.55K,0.92%
9/20/2023,78000,"76,700","78,300","76,700",96.36K,1.69%
9/21/2023,77900,"77,500","78,000","77,500",42.71K,-0.13%
9/22/2023,77000,"77,400","77,400","76,700",110.58K,-1.16%
9/25/2023,77200,"77,100","77,300","76,900",73.48K,0.26%
9/26/2023,75500,"77,100","77,100","75,300",98.41K,-2.20%
9/27/2023,75500,"76,100","76,100","74,700",24.89K,0.00%
9/28/2023,75100,"75,500","75,500","74,700",53.43K,-0.53%
9/29/2023,74900,"75,100","75,100","74,800",31.59K,-0.27%
10/2/2023,75200,"74,900","75,600","74,900",19.24K,0.40%
10/3/2023,75200,"75,000","75,200","74,300",40.79K,0.00%
10/4/2023,74500,"74,600","74,600","74,200",27.58K,-0.93%
10/5/2023,74600,"74,700","75,000","74,400",21.54K,0.13%
10/6/2023,74300,"74,200","74,900","74,200",21.67K,-0.40%
10/9/2023,74400,"74,000","74,600","74,000",50.37K,0.13%
10/10/2023,74400,"74,500","74,500","74,300",20.17K,0.00%
10/11/2023,74400,"74,700","74,700","74,000",54.25K,0.00%
10/12/2023,74000,"74,400","74,400","73,900",58.12K,-0.54%
10/13/2023,74100,"74,000","74,100","74,000",19.01K,0.14%
10/16/2023,74000,"73,900","74,400","73,500",20.90K,-0.13%
10/17/2023,74300,"74,100","74,300","74,000",61.83K,0.41%
10/18/2023,73700,"74,100","74,100","73,400",31.50K,-0.81%
10/19/2023,73300,"73,800","73,800","73,100",22.99K,-0.54%
10/20/2023,74200,"73,500","74,500","73,300",48.93K,1.23%
10/23/2023,73700,"74,200","74,200","73,500",2.81K,-0.67%
10/24/2023,73200,"74,000","74,000","73,000",21.21K,-0.68%
10/25/2023,72800,"72,800","73,200","72,600",76.20K,-0.55%
10/26/2023,71100,"74,500","74,500","71,000",45.44K,-2.34%
10/27/2023,70400,"71,000","71,600","70,000",75.16K,-0.98%
10/30/2023,70700,"70,700","71,000","70,300",57.70K,0.43%
10/31/2023,69800,"71,100","71,100","69,600",43.61K,-1.27%
11/1/2023,69900,"69,100","70,300","69,100",60.33K,0.14%
11/2/2023,70200,"69,700","70,700","69,700",25.80K,0.43%
11/3/2023,70000,"70,300","71,400","70,000",23.43K,-0.28%
11/6/2023,69800,"70,000","70,200","69,800",47.13K,-0.29%
11/7/2023,72400,"70,300","72,400","70,100",104.15K,3.72%
11/8/2023,71900,"71,500","72,400","70,700",66.02K,-0.69%
11/9/2023,70400,"71,500","71,900","70,000",95.90K,-2.09%
11/10/2023,70000,"70,400","70,400","69,900",30.36K,-0.57%
11/13/2023,70000,"70,200","70,900","69,900",17.01K,0.00%
11/14/2023,70600,"70,600","70,900","70,400",29.00K,0.86%
11/15/2023,71100,"70,600","71,500","70,500",64.36K,0.71%
11/16/2023,72500,"71,100","72,600","71,100",84.72K,1.97%
11/17/2023,73000,"72,500","73,400","71,600",20.93K,0.69%
11/20/2023,71700,"73,000","73,000","71,600",30.68K,-1.78%
11/21/2023,71800,"71,700","72,300","71,700",20.82K,0.14%
11/22/2023,71700,"72,100","72,100","70,800",58.66K,-0.14%
11/23/2023,69700,"71,700","71,700","69,700",165.51K,-2.79%
11/24/2023,69000,"69,900","69,900","68,800",59.77K,-1.00%
11/27/2023,68700,"69,000","69,200","68,700",42.18K,-0.43%
11/28/2023,69000,"68,700","69,000","68,200",43.94K,0.44%
11/29/2023,68600,"72,700","72,700","68,000",149.64K,-0.58%
11/30/2023,67900,"68,100","69,300","67,900",56.21K,-1.02%
12/1/2023,67700,"68,100","68,100","67,400",35.30K,-0.29%
12/4/2023,67200,"69,300","69,400","63,000",88.08K,-0.74%
12/5/2023,67100,"67,300","68,000","67,100",32.12K,-0.15%
12/6/2023,67700,"67,000","67,800","66,900",69.27K,0.89%
