Date,Price,Open,High,Low,Vol.,Change %
1/3/2023,56800,"53,800","56,800","53,400",2.01M,5.58%
1/4/2023,56000,"56,900","57,100","55,900",1.93M,-1.41%
1/5/2023,56200,"56,100","56,900","55,800",1.64M,0.36%
1/6/2023,56100,"56,000","56,100","54,900",1.95M,-0.18%
1/9/2023,55000,"56,200","56,200","55,000",1.20M,-1.96%
1/10/2023,54500,"55,000","55,000","53,600",1.74M,-0.91%
1/11/2023,55100,"54,500","55,500","54,100",1.09M,1.10%
1/12/2023,55000,"55,500","55,500","54,500",1.07M,-0.18%
1/13/2023,55000,"55,000","55,300","54,400",1.22M,0.00%
1/16/2023,54800,"55,000","55,000","53,400",1.69M,-0.36%
1/17/2023,55200,"53,500","55,200","53,500",1.37M,0.73%
1/18/2023,56700,"55,400","56,700","55,000",1.65M,2.72%
1/19/2023,57400,"56,300","57,400","56,000",2.34M,1.23%
1/27/2023,59200,"57,800","59,300","57,600",2.20M,3.14%
1/30/2023,57700,"59,500","59,500","57,500",1.12M,-2.53%
1/31/2023,57100,"58,100","58,500","56,500",1.38M,-1.04%
2/1/2023,55200,"57,600","57,600","54,800",1.85M,-3.33%
2/2/2023,55800,"55,200","56,100","55,100",1.33M,1.09%
2/3/2023,56000,"56,000","56,000","55,000",1.20M,0.36%
2/6/2023,56000,"55,300","56,000","54,300",1.42M,0.00%
2/7/2023,55000,"56,000","56,000","53,600",1.65M,-1.79%
2/8/2023,54400,"54,600","54,600","53,000",2.15M,-1.09%
2/9/2023,54200,"53,500","54,500","52,400",3.01M,-0.37%
2/10/2023,54000,"53,500","54,300","52,600",1.70M,-0.37%
2/13/2023,53400,"53,100","53,600","52,500",1.41M,-1.11%
2/14/2023,52900,"53,100","53,100","50,800",3.12M,-0.94%
2/15/2023,52900,"52,700","52,900","50,900",3.35M,0.00%
2/16/2023,53400,"53,000","53,700","51,400",3.24M,0.95%
2/17/2023,53500,"53,400","53,500","52,200",1.87M,0.19%
