Date,Price,Open,High,Low,Vol.,Change %
1/2/2024,75600,"75,800.00","76,300.00","75,500.00",693.40K,0.13%
1/3/2024,76000,"75,500.00","76,000.00","75,400.00",569.30K,0.53%
1/4/2024,76700,"76,000.00","77,400.00","76,000.00",1.51M,0.92%
1/5/2024,77200,"77,000.00","77,400.00","77,000.00",1.08M,0.65%
1/8/2024,76800,"77,300.00","77,800.00","76,500.00",1.02M,-0.52%
1/9/2024,75900,"76,800.00","77,000.00","75,900.00",891.50K,-1.17%
1/10/2024,75500,"76,200.00","76,400.00","75,500.00",1.03M,-0.53%
1/11/2024,76000,"75,700.00","76,100.00","75,500.00",494.00K,0.66%
1/12/2024,75100,"76,100.00","76,100.00","75,000.00",809.90K,-1.18%
1/15/2024,75700,"75,500.00","75,900.00","75,500.00",441.10K,0.80%
1/16/2024,75600,"75,500.00","75,700.00","75,000.00",457.10K,-0.13%
1/17/2024,75200,"76,000.00","76,000.00","75,100.00",831.70K,-0.53%
1/18/2024,75300,"75,200.00","75,600.00","75,200.00",413.10K,0.13%
1/19/2024,76700,"75,500.00","76,700.00","75,400.00",1.00M,1.86%
1/22/2024,76300,"76,900.00","76,900.00","76,200.00",482.70K,-0.52%
1/23/2024,76100,"76,400.00","76,700.00","76,000.00",763.00K,-0.26%
1/24/2024,75800,"76,100.00","76,400.00","75,700.00",479.60K,-0.39%
1/25/2024,75400,"75,800.00","76,100.00","75,400.00",548.00K,-0.53%
1/26/2024,75200,"76,000.00","76,500.00","75,200.00",729.00K,-0.27%
1/29/2024,76600,"75,300.00","76,700.00","75,300.00",924.60K,1.86%
1/30/2024,76400,"76,100.00","76,600.00","76,100.00",504.30K,-0.26%
1/31/2024,75400,"76,500.00","76,500.00","75,400.00",595.70K,-1.31%
2/1/2024,75500,"75,500.00","75,700.00","75,300.00",514.70K,0.13%
2/2/2024,75200,"75,900.00","75,900.00","75,200.00",675.40K,-0.40%
2/5/2024,75200,"75,200.00","75,800.00","75,100.00",638.80K,0.00%
2/6/2024,75700,"75,500.00","75,900.00","75,400.00",796.90K,0.66%
2/7/2024,75700,"75,700.00","75,800.00","75,500.00",474.30K,0.00%
2/15/2024,75700,"75,800.00","76,000.00","75,700.00",549.70K,0.00%
2/16/2024,76600,"75,700.00","77,000.00","75,700.00",1.01M,1.19%
2/19/2024,79300,"77,100.00","79,500.00","77,000.00",2.37M,3.52%
2/20/2024,78600,"79,500.00","79,700.00","78,200.00",1.01M,-0.88%
2/21/2024,77700,"78,600.00","78,600.00","77,500.00",1.11M,-1.15%
2/22/2024,77900,"78,000.00","78,700.00","77,500.00",1.04M,0.26%
2/23/2024,76600,"78,100.00","78,300.00","76,400.00",1.96M,-1.67%
2/26/2024,76200,"76,500.00","76,800.00","75,800.00",1.09M,-0.52%
2/27/2024,77600,"76,500.00","77,800.00","76,200.00",1.15M,1.84%
2/28/2024,78000,"78,000.00","79,200.00","77,700.00",1.57M,0.52%
2/29/2024,77400,"78,500.00","78,500.00","77,200.00",1.26M,-0.77%
3/1/2024,77600,"77,800.00","77,800.00","77,300.00",991.00K,0.26%
3/4/2024,77800,"77,800.00","78,500.00","77,700.00",1.14M,0.26%
3/5/2024,79000,"78,000.00","79,200.00","77,800.00",2.07M,1.54%
3/6/2024,80300,"79,400.00","81,600.00","79,400.00",1.85M,1.65%
3/7/2024,80400,"80,200.00","80,700.00","79,600.00",1.25M,0.12%
3/8/2024,79500,"81,000.00","81,600.00","79,500.00",2.11M,-1.12%
3/11/2024,77800,"79,500.00","79,500.00","77,800.00",1.48M,-2.14%
3/12/2024,77900,"77,800.00","78,500.00","77,700.00",1.17M,0.13%
3/13/2024,79000,"78,400.00","79,200.00","78,000.00",1.23M,1.41%
3/14/2024,81000,"79,700.00","81,400.00","79,400.00",3.84M,2.53%
3/15/2024,82300,"81,300.00","82,900.00","80,700.00",2.40M,1.60%
