Date,Price,Open,High,Low,Vol.,Change %
1/2/2024,43000,"43,400.00","43,600.00","42,700.00",1.11M,-0.92%
1/3/2024,43800,"43,400.00","44,100.00","43,000.00",1.56M,1.86%
1/4/2024,43650,"43,900.00","45,000.00","43,600.00",3.21M,-0.34%
1/5/2024,44500,"43,700.00","44,950.00","43,700.00",1.33M,1.95%
1/8/2024,46400,"44,800.00","46,500.00","44,650.00",1.95M,4.27%
1/9/2024,46050,"47,000.00","47,000.00","46,050.00",1.74M,-0.75%
1/10/2024,47400,"46,050.00","47,800.00","46,000.00",2.14M,2.93%
1/11/2024,46500,"47,200.00","47,250.00","46,200.00",3.39M,-1.90%
1/12/2024,46000,"45,900.00","47,200.00","45,050.00",3.07M,-1.08%
1/15/2024,46600,"46,050.00","47,000.00","46,050.00",1.34M,1.30%
1/16/2024,46900,"46,050.00","46,950.00","46,050.00",1.13M,0.64%
1/17/2024,46850,"46,550.00","47,000.00","46,300.00",1.46M,-0.11%
1/18/2024,47500,"46,850.00","47,850.00","46,650.00",2.28M,1.39%
1/19/2024,49850,"47,900.00","49,850.00","47,200.00",2.95M,4.95%
1/22/2024,49800,"49,950.00","50,200.00","48,700.00",2.37M,-0.10%
1/23/2024,49400,"49,500.00","49,800.00","48,650.00",2.18M,-0.80%
1/24/2024,48900,"48,500.00","49,200.00","48,450.00",1.87M,-1.01%
1/25/2024,48400,"48,900.00","49,750.00","48,400.00",1.35M,-1.02%
1/26/2024,48950,"48,400.00","48,950.00","48,400.00",812.40K,1.14%
1/29/2024,48700,"48,900.00","49,200.00","48,500.00",984.50K,-0.51%
1/30/2024,48450,"48,800.00","48,900.00","48,200.00",1.12M,-0.51%
1/31/2024,47700,"48,500.00","48,800.00","47,500.00",1.67M,-1.55%
2/1/2024,47250,"47,500.00","47,950.00","47,150.00",1.54M,-0.94%
2/2/2024,46900,"47,300.00","47,500.00","46,700.00",1.95M,-0.74%
2/5/2024,48650,"47,100.00","49,400.00","47,050.00",2.25M,3.73%
2/6/2024,48800,"48,800.00","48,800.00","48,000.00",1.53M,0.31%
2/7/2024,48950,"48,800.00","49,050.00","48,600.00",1.86M,0.31%
2/15/2024,48950,"48,950.00","49,250.00","48,450.00",1.63M,0.00%
2/16/2024,48550,"49,000.00","49,000.00","48,300.00",1.35M,-0.82%
2/19/2024,49300,"48,750.00","50,300.00","48,250.00",3.28M,1.54%
2/20/2024,49400,"49,500.00","50,200.00","49,400.00",1.57M,0.20%
2/21/2024,49750,"49,750.00","49,800.00","48,900.00",1.85M,0.71%
2/22/2024,49750,"49,800.00","49,900.00","49,500.00",1.60M,0.00%
2/23/2024,52100,"49,800.00","53,200.00","49,300.00",6.94M,4.72%
2/26/2024,53600,"52,800.00","54,500.00","52,000.00",1.53M,2.88%
2/27/2024,53000,"53,700.00","54,000.00","53,000.00",1.74M,-1.12%
2/28/2024,53900,"53,200.00","54,800.00","52,300.00",2.34M,1.70%
2/29/2024,53000,"53,900.00","54,000.00","53,000.00",1.34M,-1.67%
3/1/2024,53500,"53,300.00","54,300.00","52,400.00",1.25M,0.94%
3/4/2024,53500,"53,600.00","54,500.00","52,500.00",2.33M,0.00%
3/5/2024,54400,"53,500.00","54,400.00","52,900.00",1.20M,1.68%
3/6/2024,53800,"54,000.00","54,800.00","53,600.00",949.80K,-1.10%
3/7/2024,53300,"54,400.00","54,400.00","53,200.00",2.13M,-0.93%
3/8/2024,51100,"53,400.00","53,400.00","49,600.00",2.74M,-4.13%
3/11/2024,50500,"51,800.00","52,400.00","50,500.00",1.48M,-1.17%
3/12/2024,52000,"50,600.00","52,100.00","50,500.00",1.21M,2.97%
3/13/2024,52600,"52,200.00","52,600.00","51,800.00",1.40M,1.15%
3/14/2024,51700,"53,500.00","53,500.00","51,400.00",1.48M,-1.71%
3/15/2024,52200,"51,600.00","52,800.00","51,000.00",1.43M,0.97%
