Date,Price,Open,High,Low,Vol.,Change %
1/2/2014,37420,"37,420","37,688","37,153",140.20K,0.00%
1/3/2014,37688,"37,420","37,688","37,153",171.95K,0.72%
1/6/2014,37688,"37,688","37,688","37,153",209.06K,0.00%
1/7/2014,37688,"37,688","37,688","37,420",550.19K,0.00%
1/8/2014,37420,"37,420","37,688","37,420",205.57K,-0.71%
1/9/2014,37688,"37,420","37,688","37,153",346.76K,0.72%
1/10/2014,37955,"37,955","38,222","37,688",267.52K,0.71%
1/13/2014,37955,"38,222","38,222","37,688",190.97K,0.00%
1/14/2014,37688,"37,955","37,955","37,688",208.65K,-0.70%
1/15/2014,37688,"37,420","37,955","37,420",309.12K,0.00%
1/16/2014,37688,"37,688","37,688","37,420",100.32K,0.00%
1/17/2014,38757,"37,688","40,093","37,688",1.05M,2.84%
1/20/2014,40628,"39,291","41,162","39,291",2.31M,4.83%
1/21/2014,42499,"41,162","42,766","39,291",1.23M,4.61%
1/22/2014,41162,"42,499","42,766","41,162",783.74K,-3.15%
1/23/2014,40360,"41,162","41,162","40,093",244.19K,-1.95%
1/24/2014,40895,"40,628","40,895","40,093",357.72K,1.33%
1/27/2014,40895,"40,895","40,895","40,628",278.43K,0.00%
2/6/2014,40360,"40,895","40,895","39,826",493.20K,-1.31%
2/7/2014,39826,"40,895","40,895","39,559",417.66K,-1.32%
2/10/2014,40628,"39,826","40,628","39,826",176.57K,2.01%
2/11/2014,40895,"41,162","41,162","40,628",1.15M,0.66%
2/12/2014,41430,"40,895","41,430","40,628",309.78K,1.31%
2/13/2014,41697,"41,430","41,697","41,162",541.44K,0.64%
2/14/2014,41162,"41,697","41,964","41,162",274.40K,-1.28%
2/17/2014,40895,"41,162","41,162","40,628",333.18K,-0.65%
2/18/2014,41697,"41,697","41,964","41,162",572.49K,1.96%
2/19/2014,41964,"42,231","42,231","41,430",364.48K,0.64%
2/20/2014,41964,"41,964","41,964","41,162",398.75K,0.00%
2/21/2014,41430,"41,964","41,964","41,430",277.66K,-1.27%
2/24/2014,41697,"41,964","41,964","41,430",162.24K,0.64%
2/25/2014,41697,"41,430","41,964","41,430",268.23K,0.00%
2/26/2014,41430,"41,697","41,697","41,162",201.84K,-0.64%
2/27/2014,41697,"41,697","41,697","41,162",291.56K,0.64%
2/28/2014,40895,"41,697","41,697","40,895",344.16K,-1.92%
3/3/2014,39826,"41,162","41,430","39,559",558.03K,-2.61%
3/4/2014,39291,"39,559","39,826","38,757",681.79K,-1.34%
3/5/2014,39826,"39,559","40,093","39,291",624.76K,1.36%
3/6/2014,39826,"39,826","40,628","39,826",392.14K,0.00%
3/7/2014,40093,"39,826","40,360","39,826",175.19K,0.67%
3/10/2014,40360,"40,360","40,628","40,093",209.68K,0.67%
3/11/2014,40093,"40,360","40,628","39,826",187.66K,-0.66%
3/12/2014,41162,"40,895","41,697","40,628",983.38K,2.67%
3/13/2014,41162,"41,162","41,430","40,895",557.13K,0.00%
3/14/2014,40628,"41,162","41,162","40,360",602.24K,-1.30%
3/17/2014,41964,"41,162","41,964","41,162",2.12M,3.29%
3/18/2014,41430,"41,430","41,697","41,162",2.16M,-1.27%
3/19/2014,41430,"41,162","41,697","41,162",804.79K,0.00%
3/20/2014,40895,"41,430","41,697","40,895",794.29K,-1.29%
3/21/2014,41964,"41,430","41,964","41,162",4.76M,2.61%
3/24/2014,41697,"41,697","41,964","41,162",446.15K,-0.64%
3/25/2014,40895,"41,430","41,430","40,895",385.32K,-1.92%
3/26/2014,39291,"40,895","40,895","39,024",592.43K,-3.92%
3/27/2014,39826,"39,826","39,826","38,489",1.07M,1.36%
3/28/2014,39559,"40,093","40,093","39,559",561.27K,-0.67%
3/31/2014,39291,"40,093","40,093","39,291",431.54K,-0.68%
4/1/2014,38757,"39,291","39,291","38,489",745.45K,-1.36%
4/2/2014,38757,"38,757","39,024","37,955",1.56M,0.00%
4/3/2014,39291,"39,024","39,559","39,024",266.21K,1.38%
4/4/2014,39291,"39,291","39,559","39,024",1.54M,0.00%
4/7/2014,39024,"39,291","39,559","39,024",1.53M,-0.68%
4/8/2014,37955,"38,757","39,024","37,955",1.64M,-2.74%
4/10/2014,37688,"38,489","38,757","37,420",2.48M,-0.70%
4/11/2014,36886,"37,153","37,420","36,618",925.11K,-2.13%
4/14/2014,36618,"36,886","36,886","36,084",1.43M,-0.73%
4/15/2014,36351,"36,351","37,153","36,084",1.23M,-0.73%
4/16/2014,35282,"36,084","36,351","35,015",1.61M,-2.94%
4/17/2014,35549,"35,549","36,084","35,282",1.63M,0.76%
4/18/2014,34747,"35,549","35,549","34,480",1.22M,-2.26%
4/21/2014,34480,"34,747","35,015","34,213",720.27K,-0.77%
4/22/2014,35282,"34,213","35,282","34,213",1.68M,2.33%
4/23/2014,35817,"35,549","36,351","35,282",1.46M,1.52%
4/24/2014,35817,"35,817","36,084","35,549",598.03K,0.00%
4/25/2014,35817,"35,549","36,084","35,549",1.20M,0.00%
4/28/2014,35015,"35,817","35,817","34,747",847.12K,-2.24%
4/29/2014,34747,"35,015","35,549","34,480",1.10M,-0.77%
5/5/2014,34213,"34,747","34,747","34,213",1.44M,-1.54%
5/6/2014,33946,"33,411","33,946","33,144",1.64M,-0.78%
5/7/2014,34480,"33,411","34,747","33,411",732.45K,1.57%
5/8/2014,33411,"33,678","33,678","32,342",2.76M,-3.10%
