Date,Price,Open,High,Low,Vol.,Change %
1/3/2023,22700,"22,000.00","22,700.00","21,950.00",1.55M,3.65%
1/4/2023,22650,"22,850.00","22,850.00","22,550.00",1.64M,-0.22%
1/5/2023,22850,"22,750.00","23,000.00","22,650.00",2.10M,0.88%
1/6/2023,23150,"22,800.00","23,350.00","22,600.00",3.40M,1.31%
1/9/2023,23100,"23,350.00","23,350.00","22,950.00",1.75M,-0.22%
1/10/2023,23450,"23,250.00","23,450.00","22,950.00",3.06M,1.52%
1/11/2023,24200,"23,600.00","24,450.00","23,450.00",5.34M,3.20%
1/12/2023,24500,"24,200.00","24,650.00","24,200.00",2.88M,1.24%
1/13/2023,24150,"24,600.00","24,800.00","24,150.00",2.15M,-1.43%
1/16/2023,25000,"24,150.00","25,000.00","24,150.00",3.54M,3.52%
1/17/2023,25300,"25,050.00","25,450.00","24,950.00",3.98M,1.20%
1/18/2023,25500,"25,300.00","25,700.00","25,100.00",5.44M,0.79%
1/19/2023,26000,"25,500.00","26,000.00","25,450.00",5.52M,1.96%
1/27/2023,26350,"26,350.00","26,500.00","25,900.00",3.76M,1.35%
1/30/2023,25400,"26,300.00","26,350.00","25,400.00",5.40M,-3.61%
1/31/2023,26050,"25,400.00","26,050.00","25,000.00",3.48M,2.56%
2/1/2023,25200,"26,100.00","26,250.00","25,100.00",3.48M,-3.26%
2/2/2023,25000,"25,150.00","25,600.00","24,800.00",2.88M,-0.79%
2/3/2023,24500,"25,000.00","25,250.00","24,400.00",9.53M,-2.00%
2/6/2023,24900,"24,400.00","25,150.00","24,150.00",2.40M,1.63%
2/7/2023,24600,"25,000.00","25,100.00","24,400.00",2.47M,-1.20%
2/8/2023,24650,"24,800.00","25,050.00","24,550.00",1.92M,0.20%
2/9/2023,24500,"24,650.00","25,100.00","24,500.00",3.23M,-0.61%
2/10/2023,24200,"24,600.00","24,750.00","24,200.00",2.01M,-1.22%
2/13/2023,23900,"24,150.00","24,150.00","23,800.00",2.59M,-1.24%
2/14/2023,23850,"24,100.00","24,100.00","23,800.00",1.44M,-0.21%
2/15/2023,24550,"23,900.00","24,650.00","23,750.00",3.33M,2.94%
2/16/2023,24800,"24,800.00","24,800.00","24,400.00",1.62M,1.02%
2/17/2023,24800,"24,850.00","24,950.00","24,550.00",1.72M,0.00%
2/20/2023,25800,"24,700.00","25,800.00","24,650.00",4.90M,4.03%
2/21/2023,25500,"25,800.00","26,000.00","25,500.00",1.72M,-1.16%
2/22/2023,24850,"25,200.00","25,550.00","24,850.00",2.65M,-2.55%
2/23/2023,25400,"24,750.00","25,500.00","24,250.00",3.86M,2.21%
2/24/2023,24600,"25,000.00","25,300.00","24,550.00",2.23M,-3.15%
2/27/2023,24250,"24,500.00","24,600.00","24,100.00",3.11M,-1.42%
2/28/2023,24400,"24,500.00","24,750.00","24,250.00",6.15M,0.62%
3/1/2023,25150,"24,400.00","25,200.00","24,200.00",2.54M,3.07%
3/2/2023,25050,"25,000.00","25,450.00","25,000.00",3.34M,-0.40%
3/3/2023,24500,"25,050.00","25,300.00","24,500.00",2.40M,-2.20%
3/6/2023,24300,"24,850.00","25,100.00","24,300.00",5.22M,-0.82%
3/7/2023,24500,"24,750.00","25,000.00","24,300.00",4.64M,0.82%
3/8/2023,25000,"24,250.00","25,000.00","24,250.00",2.78M,2.04%
3/9/2023,25350,"25,000.00","25,450.00","24,900.00",3.74M,1.40%
3/10/2023,24900,"25,050.00","25,200.00","24,750.00",2.42M,-1.78%
3/13/2023,24500,"24,750.00","24,950.00","24,350.00",4.02M,-1.61%
3/14/2023,24050,"24,550.00","24,700.00","23,950.00",6.77M,-1.84%
3/15/2023,24800,"24,600.00","24,800.00","24,450.00",1.96M,3.12%
3/16/2023,24400,"24,500.00","24,750.00","24,150.00",2.50M,-1.61%
3/17/2023,24350,"24,550.00","24,650.00","24,350.00",1.25M,-0.20%
3/20/2023,24000,"24,200.00","24,350.00","24,000.00",2.46M,-1.44%
3/21/2023,24200,"24,400.00","24,400.00","23,850.00",1.49M,0.83%
3/22/2023,24150,"24,350.00","24,350.00","24,050.00",1.86M,-0.21%
3/23/2023,24500,"24,100.00","24,600.00","23,950.00",7.08M,1.45%
3/24/2023,24550,"24,600.00","24,850.00","24,500.00",1.68M,0.20%
3/27/2023,24450,"24,600.00","24,750.00","24,350.00",2.46M,-0.41%
3/28/2023,24450,"24,650.00","24,800.00","24,450.00",8.29M,0.00%
3/29/2023,24400,"24,500.00","24,600.00","24,350.00",15.18M,-0.20%
3/30/2023,24600,"24,600.00","24,700.00","24,550.00",2.12M,0.82%
3/31/2023,25000,"24,700.00","25,250.00","24,650.00",5.88M,1.63%
4/3/2023,25250,"25,250.00","25,400.00","25,000.00",9.97M,1.00%
4/4/2023,25150,"25,250.00","25,350.00","25,050.00",7.19M,-0.40%
4/5/2023,25300,"25,100.00","25,300.00","25,050.00",3.32M,0.60%
4/6/2023,24900,"25,400.00","25,450.00","24,900.00",4.33M,-1.58%
4/7/2023,25050,"24,950.00","25,100.00","24,900.00",3.14M,0.60%
4/10/2023,25000,"25,100.00","25,150.00","24,850.00",3.64M,-0.20%
4/11/2023,24950,"24,900.00","25,050.00","24,700.00",1.60M,-0.20%
4/12/2023,24850,"25,000.00","25,050.00","24,800.00",3.22M,-0.40%
4/13/2023,24950,"24,950.00","25,050.00","24,850.00",2.52M,0.40%
4/14/2023,24950,"25,050.00","25,100.00","24,850.00",5.02M,0.00%
4/17/2023,25000,"24,950.00","25,000.00","24,800.00",1.65M,0.20%
4/18/2023,24750,"25,000.00","25,000.00","24,750.00",2.10M,-1.00%
4/19/2023,24400,"24,800.00","24,800.00","24,400.00",4.60M,-1.41%
4/20/2023,24250,"24,500.00","24,550.00","24,200.00",2.47M,-0.61%
4/21/2023,24250,"24,300.00","24,400.00","24,250.00",2.47M,0.00%
4/24/2023,24200,"24,300.00","24,450.00","24,100.00",2.27M,-0.21%
4/25/2023,24150,"24,300.00","24,450.00","24,100.00",6.17M,-0.21%
4/26/2023,24150,"24,150.00","24,200.00","23,950.00",3.86M,0.00%
4/27/2023,24150,"24,200.00","24,450.00","24,100.00",2.18M,0.00%
4/28/2023,24200,"24,200.00","24,400.00","24,150.00",9.77M,0.21%
5/4/2023,24700,"24,300.00","24,750.00","24,300.00",4.30M,2.07%
5/5/2023,24650,"24,500.00","24,750.00","24,500.00",2.62M,-0.20%
5/8/2023,24950,"24,650.00","25,000.00","24,600.00",2.30M,1.22%
5/9/2023,24900,"25,000.00","25,050.00","24,800.00",3.11M,-0.20%
5/10/2023,24900,"24,900.00","24,950.00","24,800.00",1.96M,0.00%
5/11/2023,24900,"25,000.00","25,100.00","24,800.00",2.55M,0.00%
5/12/2023,25000,"25,000.00","25,050.00","24,800.00",2.35M,0.40%
5/15/2023,25000,"25,200.00","25,300.00","24,950.00",6.38M,0.00%
5/16/2023,25000,"25,000.00","25,050.00","24,900.00",1.46M,0.00%
5/17/2023,24900,"25,000.00","25,150.00","24,850.00",3.45M,-0.40%
5/18/2023,25000,"24,900.00","25,100.00","24,850.00",3.35M,0.40%
5/19/2023,24950,"25,050.00","25,050.00","24,750.00",4.01M,-0.20%
5/22/2023,25050,"25,000.00","25,050.00","24,900.00",4.58M,0.40%
5/23/2023,25350,"25,200.00","25,600.00","25,000.00",21.72M,1.20%
5/24/2023,25150,"25,500.00","25,500.00","24,950.00",11.05M,-0.79%
5/25/2023,25100,"25,200.00","25,200.00","24,900.00",8.79M,-0.20%
5/26/2023,25000,"25,200.00","25,200.00","24,950.00",8.56M,-0.40%
5/29/2023,25150,"25,100.00","25,300.00","25,000.00",16.57M,0.60%
5/30/2023,25200,"25,300.00","25,300.00","25,000.00",22.60M,0.20%
5/31/2023,25400,"25,200.00","25,400.00","25,000.00",29.15M,0.79%
6/1/2023,21400,"21,500.00","21,750.00","21,250.00",12.76M,-15.75%
6/2/2023,21800,"21,500.00","22,100.00","21,450.00",15.03M,1.87%
6/5/2023,21750,"22,000.00","22,150.00","21,650.00",13.84M,-0.23%
6/6/2023,21800,"21,800.00","21,850.00","21,700.00",9.94M,0.23%
6/7/2023,21850,"21,800.00","22,000.00","21,800.00",9.18M,0.23%
6/8/2023,21600,"21,800.00","21,900.00","21,600.00",9.68M,-1.14%
6/9/2023,21550,"21,650.00","21,650.00","21,300.00",7.46M,-0.23%
6/12/2023,21450,"21,650.00","21,650.00","21,350.00",4.29M,-0.46%
6/13/2023,21600,"21,500.00","21,600.00","21,400.00",7.97M,0.70%
6/14/2023,21650,"21,650.00","21,900.00","21,600.00",8.03M,0.23%
6/15/2023,21700,"21,650.00","21,700.00","21,550.00",5.41M,0.23%
6/16/2023,21800,"21,700.00","22,100.00","21,600.00",14.41M,0.46%
6/19/2023,21650,"21,800.00","21,850.00","21,600.00",4.66M,-0.69%
6/20/2023,21650,"21,650.00","21,700.00","21,500.00",5.64M,0.00%
6/21/2023,21700,"21,600.00","21,700.00","21,550.00",5.48M,0.23%
6/22/2023,21650,"21,750.00","21,900.00","21,650.00",7.97M,-0.23%
6/23/2023,21900,"21,700.00","21,900.00","21,600.00",11.43M,1.15%
6/26/2023,22250,"22,200.00","22,500.00","22,000.00",11.78M,1.60%
6/27/2023,22200,"22,550.00","22,550.00","22,200.00",5.62M,-0.22%
6/28/2023,22300,"22,200.00","22,400.00","22,100.00",8.23M,0.45%
6/29/2023,21900,"22,300.00","22,400.00","21,900.00",8.15M,-1.79%
6/30/2023,22050,"21,900.00","22,050.00","21,800.00",5.12M,0.68%
7/3/2023,22050,"22,050.00","22,100.00","21,950.00",4.03M,0.00%
7/4/2023,22000,"21,950.00","22,050.00","21,900.00",4.35M,-0.23%
7/5/2023,21950,"22,000.00","22,100.00","21,950.00",8.12M,-0.23%
7/6/2023,21700,"21,950.00","22,000.00","21,650.00",6.42M,-1.14%
7/7/2023,21700,"21,700.00","21,750.00","21,500.00",7.14M,0.00%
7/10/2023,21950,"21,750.00","22,100.00","21,700.00",9.03M,1.15%
7/11/2023,22000,"22,300.00","22,300.00","21,950.00",8.85M,0.23%
7/12/2023,21850,"22,200.00","22,200.00","21,800.00",5.19M,-0.68%
7/13/2023,22000,"22,000.00","22,000.00","21,800.00",6.74M,0.69%
7/14/2023,22000,"22,050.00","22,100.00","21,800.00",6.90M,0.00%
7/17/2023,22000,"22,050.00","22,050.00","21,900.00",6.53M,0.00%
7/18/2023,22000,"21,900.00","22,000.00","21,850.00",6.78M,0.00%
7/19/2023,22000,"22,000.00","22,150.00","21,950.00",9.55M,0.00%
7/20/2023,22000,"22,000.00","22,050.00","21,900.00",6.28M,0.00%
7/21/2023,22100,"22,000.00","22,100.00","21,900.00",6.68M,0.45%
7/24/2023,22050,"22,100.00","22,200.00","21,950.00",6.76M,-0.23%
7/25/2023,22300,"22,000.00","22,500.00","22,000.00",13.70M,1.13%
