Date,Price,Open,High,Low,Vol.,Change %
1/3/2023,80000,"76,900.00","80,000.00","76,800.00",1.54M,4.03%
1/4/2023,80000,"80,800.00","81,000.00","79,300.00",794.30K,0.00%
1/5/2023,80600,"80,200.00","81,500.00","80,200.00",1.01M,0.75%
1/6/2023,80300,"80,400.00","81,100.00","80,200.00",719.40K,-0.37%
1/9/2023,80300,"80,500.00","80,900.00","79,900.00",518.90K,0.00%
1/10/2023,80400,"80,700.00","81,300.00","80,200.00",752.70K,0.12%
1/11/2023,80900,"80,400.00","81,600.00","80,400.00",1.08M,0.62%
1/12/2023,80700,"81,000.00","81,500.00","80,200.00",542.50K,-0.25%
1/13/2023,80000,"80,500.00","81,200.00","80,000.00",628.30K,-0.87%
1/16/2023,80800,"80,100.00","81,000.00","79,700.00",574.50K,1.00%
1/17/2023,82000,"81,200.00","82,000.00","81,000.00",978.20K,1.49%
1/18/2023,83400,"82,100.00","83,400.00","81,800.00",954.60K,1.71%
1/19/2023,83900,"83,000.00","84,200.00","82,900.00",1.33M,0.60%
1/27/2023,84000,"84,100.00","85,500.00","84,000.00",1.14M,0.12%
1/30/2023,83700,"84,200.00","84,400.00","83,700.00",891.00K,-0.36%
1/31/2023,83500,"83,500.00","83,700.00","81,700.00",1.53M,-0.24%
2/1/2023,82000,"84,000.00","84,000.00","81,800.00",1.05M,-1.80%
2/2/2023,81900,"82,100.00","82,400.00","81,300.00",1.33M,-0.12%
2/3/2023,80100,"82,000.00","82,000.00","80,100.00",1.73M,-2.20%
2/6/2023,80500,"80,000.00","81,600.00","79,700.00",944.40K,0.50%
2/7/2023,80700,"80,500.00","81,900.00","80,500.00",750.80K,0.25%
2/8/2023,81200,"80,800.00","81,700.00","80,600.00",669.70K,0.62%
2/9/2023,80700,"81,000.00","81,600.00","80,700.00",743.00K,-0.62%
2/10/2023,80700,"81,100.00","81,200.00","80,500.00",725.00K,0.00%
2/13/2023,80700,"80,700.00","81,200.00","80,000.00",613.20K,0.00%
2/14/2023,80800,"80,700.00","81,000.00","80,200.00",619.70K,0.12%
2/15/2023,81600,"80,500.00","81,900.00","80,300.00",645.20K,0.99%
2/16/2023,81600,"81,600.00","82,000.00","80,700.00",424.20K,0.00%
2/17/2023,81600,"81,200.00","81,600.00","81,000.00",467.60K,0.00%
2/20/2023,82800,"81,600.00","83,000.00","81,400.00",1.28M,1.47%
2/21/2023,82800,"82,800.00","83,700.00","82,600.00",840.00K,0.00%
2/22/2023,81800,"82,300.00","82,500.00","81,800.00",747.20K,-1.21%
2/23/2023,81400,"81,700.00","81,700.00","80,600.00",1.16M,-0.49%
2/24/2023,80800,"81,100.00","81,300.00","80,400.00",559.20K,-0.74%
2/27/2023,80300,"80,000.00","80,500.00","79,900.00",1.02M,-0.62%
2/28/2023,80500,"80,000.00","80,700.00","79,500.00",524.30K,0.25%
3/1/2023,80500,"79,500.00","80,500.00","78,700.00",1.38M,0.00%
3/2/2023,80000,"80,000.00","80,500.00","79,800.00",430.80K,-0.62%
3/3/2023,78500,"79,300.00","80,000.00","78,500.00",740.80K,-1.88%
3/6/2023,78200,"78,100.00","79,800.00","78,100.00",817.20K,-0.38%
3/7/2023,78800,"79,100.00","79,900.00","78,800.00",792.00K,0.77%
3/8/2023,79500,"78,500.00","79,500.00","78,500.00",510.60K,0.89%
3/9/2023,80600,"79,500.00","80,700.00","79,200.00",640.30K,1.38%
3/10/2023,79500,"80,200.00","80,400.00","79,000.00",640.90K,-1.36%
3/13/2023,78900,"78,100.00","79,400.00","78,100.00",886.50K,-0.75%
3/14/2023,78700,"79,000.00","79,100.00","78,500.00",427.40K,-0.25%
3/15/2023,80500,"79,100.00","80,500.00","79,100.00",691.80K,2.29%
3/16/2023,79200,"80,000.00","80,000.00","78,400.00",850.00K,-1.61%
3/17/2023,79000,"79,600.00","80,000.00","78,600.00",429.40K,-0.25%
3/20/2023,77600,"79,100.00","79,300.00","77,600.00",769.80K,-1.77%
3/21/2023,78100,"78,600.00","78,700.00","77,100.00",536.20K,0.64%
3/22/2023,78500,"78,200.00","78,600.00","77,600.00",610.40K,0.51%
3/23/2023,78000,"78,400.00","78,500.00","77,600.00",356.60K,-0.64%
3/24/2023,78600,"78,300.00","78,800.00","78,000.00",366.70K,0.77%
3/27/2023,79100,"78,900.00","79,200.00","78,500.00",767.20K,0.64%
3/28/2023,79200,"79,200.00","79,200.00","77,500.00",1.00M,0.13%
3/29/2023,79000,"79,200.00","79,300.00","78,600.00",404.50K,-0.25%
3/30/2023,79100,"79,000.00","79,300.00","78,800.00",408.40K,0.13%
3/31/2023,79100,"79,100.00","79,500.00","79,000.00",671.60K,0.00%
4/3/2023,80900,"79,400.00","80,900.00","79,100.00",1.17M,2.28%
